LemmaID	BunruiNo
37877	1.1000/1.2000	体-関係-事柄-事柄/体-主体-人間-人間	1.1000-01-01-01/1.2000-01-01-04
28990	1.1000	体-関係-事柄-事柄	1.1000-01-01-02
33543	1.1000/1.1940/1.3410/1.3701	体-関係-事柄-事柄/体-関係-量-一般・全体・部分/体-活動-行為-身上/体-活動-経済-所有	1.1000-01-01-03/1.1940-18-01-01/1.3410-03-01-01/1.3701-12-01-01
38347	1.1000/1.2000/1.2010	体-関係-事柄-事柄/体-主体-人間-人間/体-主体-人間-われ・なれ・かれ	1.1000-01-01-04/1.2000-01-02-01/1.2010-04-05-02
24316	1.1000/1.1120/1.3542	体-関係-事柄-事柄/体-関係-類-相対/体-活動-交わり-競争	1.1000-01-02-01/1.1120-02-01-04/1.3542-08-02-01
21796	1.1000	体-関係-事柄-事柄	1.1000-02-01-01
37875	1.1000/1.4000	体-関係-事柄-事柄/体-生産物-物品-物品	1.1000-02-01-02/1.4000-01-01-01
138643	1.1000	体-関係-事柄-事柄	1.1000-02-01-03
33373	1.1000/1.4000	体-関係-事柄-事柄/体-生産物-物品-物品	1.1000-02-01-04/1.4000-01-02-01
12836	1.1000	体-関係-事柄-事柄	1.1000-03-01-01
17674	1.1000	体-関係-事柄-事柄	1.1000-03-01-02
295607	1.1000	体-関係-事柄-事柄	1.1000-03-01-02
17853	1.1000	体-関係-事柄-事柄	1.1000-03-02-01
65014	1.1000	体-関係-事柄-事柄	1.1000-03-02-02
12843	1.1000	体-関係-事柄-事柄	1.1000-03-03-01
68445	1.1000	体-関係-事柄-事柄	1.1000-03-03-02
37892	1.1000	体-関係-事柄-事柄	1.1000-03-03-03
17868	1.1000/1.1300	体-関係-事柄-事柄/体-関係-様相-様相・情勢	1.1000-03-03-04/1.1300-08-01-01
55776	1.1000	体-関係-事柄-事柄	1.1000-03-03-05
54203	1.1000/1.3460	体-関係-事柄-事柄/体-活動-行為-用事	1.1000-03-04-01/1.3460-05-01-04
54199	1.1000	体-関係-事柄-事柄	1.1000-03-04-02
